age,chulNo,daySerial,hrName,hrNo,meet,name,nopassReason,owName,owNo,passFlag,reason,rider,sex,trName,trNo,trainDate,trainNo
4,21,29,그레이캔디,0055102,서울,미국,-,에스지이건설,121013,합격,출발지정(재),지크리(외국인/트랙라이더),수,박병일,070163,20260417,1
3,22,29,비카델라,0053398,서울,한국,-,부건영,104079,합격,출발지정(신),양경태(주로조교),암,서인석,070165,20260417,1
5,23,29,강철파워,0050261,서울,한국,-,허건호,010205,합격,출발지정(재),이정진(주로조교),수,심승태,070166,20260417,1
2,24,29,마이뮤직,0061376,서울,미국,-,권경자,105222,합격,출발미합(신),김현준(주로조교),수,박재우,070164,20260417,1
2,25,29,퀸즈임팩트,0055485,서울,한국,-,박남성,010496,합격,출발미합(신),코지(기수),암,박재우,070164,20260417,1
6,1,28,원더풀폭스,0046300,서울,한국,-,투애니포,121063,합격,출발지정(재),박종호(주로조교),암,박윤규,070117,20260415,1
3,2,28,피엔에스이트,0053537,서울,한국,진입불량,피엔에스커튼월,118008,불합격,출발미합(신),아달쉬 (외국인/트랙라이더),수,박윤규,070117,20260415,1
2,3,28,마이스톰,0055619,서울,미국,출발불량,에스지이건설,121013,불합격,출발지정(신),이성옥(주로조교),수,홍대유,070145,20260415,1
5,4,28,다이나믹송,0046566,서울,한국,발진불량,송암축산,121019,불합격,출발지정(재),김태현(기수),암,구자흥,070157,20260415,1
2,5,28,위너남촌,0053949,서울,한국,출발불량,남승현,010252,불합격,출발미합(신),조만근(주로조교),암,구자흥,070157,20260415,1
4,6,28,가온히어로,0055530,서울,미국,-,김기종,106296,합격,출발지정(주),정영훈(주로조교),수,강성오,070174,20260415,1
2,7,28,나르샤루나,0057220,서울,한국,-,(주)아진화학,125010,합격,출발미합(신),박상우(기수),암,정호익,070148,20260415,1
2,8,28,나르샤루시,0055280,서울,한국,-,(주)아진화학,125010,합격,출발미합(신),최정우(주로조교),암,정호익,070148,20260415,1
3,10,28,아모스전사,0053269,서울,한국,출발불량,조아건설(주),125009,불합격,출발미합(신),김현진(주로조교),수,홍윤화,070306,20260415,1
2,15,28,더선불사조,0053439,서울,한국,-,한명로,111053,합격,출발지정(재),솔레(외국인/트랙라이더),암,정하백,070293,20260415,1
3,16,28,빈센트알렉스,0052923,서울,한국,진입불량,신봉훈,124014,불합격,출발지정(재),황인홍(주로조교),수,정하백,070293,20260415,1
2,17,28,걸작마루,0055821,서울,한국,출발불량,박덕희,105249,불합격,출발미합(신),조상범(기수),수,정하백,070293,20260415,1
2,18,28,걸작번개,0055491,서울,한국,진입불량,박덕희,105249,불합격,출발미합(신),김효정(기수),수,정하백,070293,20260415,1
2,19,28,걸작윤슬,0055193,서울,한국,진입불량,박덕희,105249,불합격,출발미합(신),황인홍(주로조교),암,정하백,070293,20260415,1
2,20,28,걸작루비,0055472,서울,한국,출발불량,박덕희,105249,불합격,출발미합(신),김태희(기수),암,정하백,070293,20260415,1
4,21,28,글로리조이,0051605,서울,한국,진입불량,김길리,125001,불합격,출발지정(재),최범현(기수),거,박지헌,070264,20260415,1
1,24,28,레전드몬스터,0056247,서울,한국,출발불량,환상마,124043,불합격,출발미합(신),임태양(주로조교),수,안병기,070146,20260415,1
3,25,28,리더스파트너,0053002,서울,한국,진입불량,유성훈,123007,불합격,출발지정(재),박석진(주로조교),거,서홍수,070160,20260415,1
4,29,28,그레이캔디,0055102,서울,미국,-,에스지이건설,121013,합격,출발지정(재),지크리(외국인/트랙라이더),수,박병일,070163,20260415,1
2,30,28,용비신성,0055718,서울,한국,-,정성진,122013,합격,출발미합(신),정필화(주로조교),수,김윤섭,070103,20260415,1
2,31,28,천둥의불꽃,0055186,서울,한국,-,양정아,124019,합격,출발미합(신),김동욱(주로조교),수,김윤섭,070103,20260415,1
5,32,28,대원용마,1412289,서울,한국,-,이혜섭,123010,합격,출발지정(재),최명길(주로조교),거,서인석,070165,20260415,1
3,33,28,서부위스트,0054060,서울,한국,-,부건영,104079,합격,출발지정(재),김태원(주로조교),암,서인석,070165,20260415,1
2,36,28,오섬모닝,0055064,서울,한국,-,손병철,110058,합격,출발미합(신),신호철(주로조교),수,이준철,070197,20260415,1
3,37,28,두손라이프,0052901,서울,한국,-,이도명,010815,합격,출발지정(재),에드윈(외국인/트랙라이더),수,박재우,070164,20260415,1
2,38,28,그랜드폭풍,0055300,서울,한국,-,박재범,104040,합격,출발미합(신),김현준(주로조교),암,박재우,070164,20260415,1
2,39,28,마이뮤직,0061376,서울,미국,출발불량,권경자,105222,불합격,출발미합(신),에드윈(외국인/트랙라이더),수,박재우,070164,20260415,1
2,40,28,퀸즈임팩트,0055485,서울,한국,진입불량,박남성,010496,불합격,출발미합(신),에드윈(외국인/트랙라이더),암,박재우,070164,20260415,1
3,41,28,푸른참,0061442,서울,한국,-,김명식,010226,합격,출발미합(신),김관용(주로조교),암,박천서,070115,20260415,1
3,42,28,피엔에스마운,0053568,서울,한국,-,피엔에스커튼월,118008,합격,출발미합(신),김성현(기수),암,박천서,070115,20260415,1
6,1,27,원더풀폭스,0046300,서울,한국,-,투애니포,121063,합격,출발지정(재),박종호(주로조교),암,박윤규,070117,20260410,1
4,3,27,래피드스톰,0050892,서울,한국,-,코리아호스랜드,065134,합격,출발미합(신),홍민기(주로조교),암,구자흥,070157,20260410,1
4,4,27,모닝원더,0051574,서울,한국,-,김중길,105057,합격,출발지정(재),이혁(기수),암,강성오,070174,20260410,1
2,7,27,나르샤피네,0055398,서울,한국,-,(주)아진화학,125010,불합격,출발미합(신),박상우(기수),암,정호익,070148,20260410,1
2,8,27,볼스터,0055189,서울,한국,-,손병철,110058,합격,출발미합(신),정요섭(주로조교),수,정호익,070148,20260410,1
2,11,27,더선불사조,0053439,서울,한국,-,한명로,111053,합격,출발지정(재),솔레(외국인/트랙라이더),암,정하백,070293,20260410,1
2,12,27,걸작루비,0055472,서울,한국,출발불량,박덕희,105249,불합격,출발미합(신),김태희(기수),암,정하백,070293,20260410,1
2,15,27,걸작윤슬,0055193,서울,한국,진입불량,박덕희,105249,불합격,출발미합(신),황인홍(주로조교),암,정하백,070293,20260410,1
2,17,27,로열호프케이,0055351,서울,한국,-,강경운,117025,합격,출발미합(신),박규창(주로조교),수,문병기,070225,20260410,1
2,18,27,명파워풀,0055356,서울,한국,출발불량,(주)자성실업,106168,불합격,출발미합(신),한성혁(주로조교),수,문병기,070225,20260410,1
5,21,27,대원용마,1412289,서울,한국,-,이혜섭,123010,합격,출발지정(재),최명길(주로조교),거,서인석,070165,20260410,1
3,23,27,서부위스트,0054060,서울,한국,-,부건영,104079,합격,출발지정(재),김태원(주로조교),암,서인석,070165,20260410,1
3,24,27,두손라이프,0052901,서울,한국,-,이도명,010815,합격,출발지정(재),에드윈(외국인/트랙라이더),수,박재우,070164,20260410,1
6,1,26,원더풀폭스,0046300,서울,한국,출발자세불량,투애니포,121063,불합격,출발지정(재),박종호(주로조교),암,박윤규,070117,20260408,1
4,2,26,피엔에스미트,0051050,서울,한국,-,피엔에스커튼월,118008,합격,출발미합(신),아달쉬 (외국인/트랙라이더),암,박윤규,070117,20260408,1
2,4,26,마이스톰,0055619,서울,미국,출발불량,에스지이건설,121013,불합격,출발지정(신),이성옥(주로조교),수,홍대유,070145,20260408,1
3,5,26,프라임스타,0054260,서울,한국,-,양순희,118017,합격,출발미합(신),김태현(기수),암,구자흥,070157,20260408,1
3,7,26,글로벌서브,0051855,서울,한국,-,장재형,010611,합격,출발지정(재),박상우(기수),거,정호익,070148,20260408,1
2,8,26,볼스터,0055189,서울,한국,출발불량,손병철,110058,불합격,출발미합(신),최정우(주로조교),수,정호익,070148,20260408,1
2,9,26,나르샤루나,0057220,서울,한국,출발불량,(주)아진화학,125010,불합격,출발미합(신),박상우(기수),암,정호익,070148,20260408,1
2,10,26,나르샤루시,0055280,서울,한국,진입불량,(주)아진화학,125010,불합격,출발미합(신),김진완(주로조교),암,정호익,070148,20260408,1
2,11,26,나르샤피네,0055398,서울,한국,진입불량,(주)아진화학,125010,불합격,출발미합(신),박상우(기수),암,정호익,070148,20260408,1
2,12,26,더선불사조,0053439,서울,한국,출발자세불량,한명로,111053,불합격,출발지정(재),솔레(외국인/트랙라이더),암,정하백,070293,20260408,1
2,14,26,걸작마루,0055821,서울,한국,출발불량,박덕희,105249,불합격,출발미합(신),김수형(주로조교),수,정하백,070293,20260408,1
2,15,26,걸작루비,0055472,서울,한국,출발불량,박덕희,105249,불합격,출발미합(신),김태희(기수),암,정하백,070293,20260408,1
2,16,26,걸작번개,0055491,서울,한국,진입불량,박덕희,105249,불합격,출발미합(신),김효정(기수),수,정하백,070293,20260408,1
2,17,26,걸작윤슬,0055193,서울,한국,출발불량,박덕희,105249,불합격,출발미합(신),정하백(조교사),암,정하백,070293,20260408,1
4,18,26,글로리조이,0051605,서울,한국,진입불량,김길리,125001,불합격,출발지정(재),배백종(주로조교),거,박지헌,070264,20260408,1
2,19,26,마이퀄리티,0061375,서울,미국,-,권경자,105222,합격,출발미합(신),이기창(주로조교),수,성상현,070289,20260408,1
4,23,26,그레이캔디,0055102,서울,미국,진입불량,에스지이건설,121013,불합격,출발지정(재),지크리(외국인/트랙라이더),수,박병일,070163,20260408,1
5,24,26,대원용마,1412289,서울,한국,진입불량,이혜섭,123010,불합격,출발지정(재),최명길(주로조교),거,서인석,070165,20260408,1
3,26,26,서부위스트,0054060,서울,한국,출발자세불량,부건영,104079,불합격,출발지정(재),김태원(주로조교),암,서인석,070165,20260408,1
2,27,26,블리츠카라,0057821,서울,한국,-,명주환,123020,합격,출발미합(신),칼리지(외국인/트랙라이더),수,임채덕,070198,20260408,1
3,28,26,능력도령,0053964,서울,한국,-,허건호,010205,합격,출발미합(신),칸(외국인/트랙라이더),거,심승태,070166,20260408,1
2,29,26,마이뮤직,0061376,서울,미국,진입불량,권경자,105222,불합격,출발미합(신),김현준(주로조교),수,박재우,070164,20260408,1
1,30,26,엠파이어스타,0059222,서울,미국,-,에스지이건설,121013,합격,출발미합(신),임기원(기수),수,박재우,070164,20260408,1
3,31,26,청강가을,0053265,서울,한국,진입불량,김관호,125004,불합격,출발지정(신),황순도(기수),암,박재우,070164,20260408,1
3,3,25,프라임스타,0054260,서울,한국,출발불량,양순희,118017,불합격,출발미합(신),김태현(기수),암,구자흥,070157,20260403,1
3,4,25,글로벌서브,0051855,서울,한국,-,장재형,010611,합격,출발지정(재),박상우(기수),거,정호익,070148,20260403,1
2,5,25,볼스터,0055189,서울,한국,출발불량,손병철,110058,불합격,출발미합(신),정요섭(주로조교),수,정호익,070148,20260403,1
2,6,25,거센함성,0053817,서울,한국,-,강석대,105211,합격,출발지정(신),수짓(외국인/트랙라이더),수,이신우,070167,20260403,1
3,7,25,스파이시제리,0053136,서울,한국,-,범한산업,106114,합격,출발지정(신),하피즈(외국인/트랙라이더),암,이신우,070167,20260403,1
2,8,25,더선불사조,0053439,서울,한국,-,한명로,111053,합격,출발지정(재),솔레(외국인/트랙라이더),암,정하백,070293,20260403,1
2,9,25,월드테이오,0054328,서울,한국,-,청수,116053,합격,출발지정(신),황우연(주로조교),거,정하백,070293,20260403,1
3,10,25,영원한루체아,0053091,서울,한국,-,조병해,010457,합격,출발(합격유보),오수철(기수),암,이동국,070247,20260403,1
2,11,25,창조의화살,0053477,서울,한국,-,임병효,104134,합격,출발지정(신),이기창(주로조교),수,성상현,070289,20260403,1
2,12,25,명파워풀,0055356,서울,한국,출발불량,(주)자성실업,106168,불합격,출발미합(신),부민호(기수),수,문병기,070225,20260403,1
2,13,25,크리솔퀸,0054400,서울,한국,-,요시다 가츠미,214126,합격,출발미합(신),김선태(주로조교),암,안병기,070146,20260403,1
2,14,25,우리의기쁨,0055203,서울,한국,-,진교원,010418,합격,출발미합(신),임태양(주로조교),암,안병기,070146,20260403,1
2,15,25,퀸즈타이거,0053990,서울,한국,-,(주)메타플렉스,125014,합격,출발미합(신),지하주(기수),암,강환민,070175,20260403,1
5,16,25,대원용마,1412289,서울,한국,-,이혜섭,123010,합격,출발지정(재),최명길(주로조교),거,서인석,070165,20260403,1
4,18,25,라이징모,0052083,서울,한국,-,양현모,114021,합격,출발지정(주),황순도(기수),암,서인석,070165,20260403,1
2,20,25,블리츠카라,0057821,서울,한국,진입불량,명주환,123020,불합격,출발미합(신),수짓(외국인/트랙라이더),수,임채덕,070198,20260403,1
2,21,25,누리여왕,0053539,서울,한국,-,허도행,104127,합격,출발미합(신),오동환(주로조교),암,김동균,070170,20260403,1
4,4,24,가온히어로,0055530,서울,미국,-,김기종,106296,합격,출발지정(주),정영훈(주로조교),수,강성오,070174,20260401,1
3,5,24,포인트아이,0053084,서울,한국,-,파인트리,123028,합격,출발(합격유보),윤태혁(기수),암,강성오,070174,20260401,1
3,6,24,글로벌서브,0051855,서울,한국,출발자세불량,장재형,010611,불합격,출발지정(재),박상우(기수),거,정호익,070148,20260401,1
2,7,24,거센함성,0053817,서울,한국,진입불량,강석대,105211,불합격,출발지정(신),수짓(외국인/트랙라이더),수,이신우,070167,20260401,1
3,8,24,스파이시제리,0053136,서울,한국,출발자세불량,범한산업,106114,불합격,출발지정(신),김효정(기수),암,이신우,070167,20260401,1
2,9,24,더선불사조,0053439,서울,한국,진입불량,한명로,111053,불합격,출발지정(재),나즈리(외국인/트랙라이더),암,정하백,070293,20260401,1
2,10,24,월드테이오,0054328,서울,한국,출발자세불량,청수,116053,불합격,출발지정(신),황우연(주로조교),거,정하백,070293,20260401,1
2,11,24,누리돌풍,0053910,서울,한국,-,허도행,104127,합격,출발미합(신),하피즈(외국인/트랙라이더),수,최봉주,070152,20260401,1
2,14,24,명파워풀,0055356,서울,한국,출발불량,(주)자성실업,106168,불합격,출발미합(신),한성혁(주로조교),수,문병기,070225,20260401,1
2,15,24,위대한신화,0055546,서울,한국,-,남석우,105055,합격,출발미합(신),박규창(주로조교),암,문병기,070225,20260401,1
2,16,24,글로벌최강,0055703,서울,한국,-,김준현,106289,합격,출발미합(신),최지현(주로조교),수,안병기,070146,20260401,1
2,17,24,두움,0055281,서울,한국,-,환상마,124043,합격,출발미합(신),조성준(주로조교),수,안병기,070146,20260401,1
2,18,24,루움축제,0056677,서울,한국,-,김종근,122022,합격,출발미합(신),현근식(주로조교),암,안병기,070146,20260401,1
1,20,24,클래식오텀,0059223,서울,미국,-,권경자,105222,합격,출발미합(신),김선태(주로조교),수,안병기,070146,20260401,1
2,21,24,환상의루나,0055287,서울,한국,-,환상마,124043,합격,출발미합(신),김선태(주로조교),암,안병기,070146,20260401,1
2,22,24,이클립스소다,0055307,서울,한국,-,조한수,122023,합격,출발미합(신),김태희(기수),암,서홍수,070160,20260401,1
2,23,24,토네르도스,0055196,서울,한국,-,제이엘피코퍼레이션,124020,합격,출발미합(신),송재철(기수),수,서홍수,070160,20260401,1
1,24,24,토네르원,0056201,서울,한국,-,제이엘피코퍼레이션,124020,합격,출발미합(신),빅투아르(기수),수,서홍수,070160,20260401,1
5,25,24,대원용마,1412289,서울,한국,출발자세불량,이혜섭,123010,불합격,출발지정(재),최명길(주로조교),거,서인석,070165,20260401,1
2,27,24,블리츠카라,0057821,서울,한국,출발불량,명주환,123020,불합격,출발미합(신),수짓(외국인/트랙라이더),수,임채덕,070198,20260401,1
4,28,24,한강글로리,1411984,서울,한국,-,조금제,109017,합격,출발지정(재),나즈리(외국인/트랙라이더),수,임채덕,070198,20260401,1
2,29,24,진격의돌핀,0060799,서울,호주,-,서창식,114004,합격,출발미합(신),노한울(주로조교),암,신삼영,070161,20260401,1
4,30,24,런와일드,1412208,서울,한국,-,손병현,112005,합격,출발지정(재),이해동(기수),거,이관호,070181,20260401,1
3,1,23,피엔에스리프,0051642,서울,한국,-,피엔에스커튼월,118008,합격,출발미합(신),지크리(외국인/트랙라이더),수,박윤규,070117,20260327,1
3,4,23,즐거운빛,0053381,서울,한국,-,이경헌,124041,합격,출발미합(신),이호석(주로조교),암,홍대유,070145,20260327,1
4,5,23,블레이밍워,0055105,서울,미국,-,에스지이건설,121013,합격,출발불량(연속)(2/2),박상우(기수),암,정호익,070148,20260327,1
2,7,23,월드테이오,0054328,서울,한국,출발불량,청수,116053,불합격,출발지정(신),황우연(주로조교),거,정하백,070293,20260327,1
2,8,23,누리돌풍,0053910,서울,한국,진입불량,허도행,104127,불합격,출발미합(신),하피즈(외국인/트랙라이더),수,최봉주,070152,20260327,1
2,10,23,능력도령,0053964,서울,한국,출발불량,허건호,010205,불합격,출발미합(신),세카(외국인/트랙라이더),거,최봉주,070152,20260327,1
2,11,23,지산레이블,0054001,서울,한국,-,홍승오,110116,합격,출발지정(재),현근식(주로조교),수,안병기,070146,20260327,1
10,12,23,허쉬대보,0038599,서울,한국,-,박철근,111042,합격,출발지정(재),김옥성(기수),수,전승규,070182,20260327,1
4,13,23,블랙스펙터,0047204,서울,한국,-,허영희,104011,합격,출발지정(재),오수철(기수),수,배휴준,070144,20260327,1
5,14,23,대원용마,1412289,서울,한국,-,이혜섭,123010,합격,출발지정(재),최명길(주로조교),거,서인석,070165,20260327,1
4,15,23,라이징모,0052083,서울,한국,-,양현모,114021,합격,출발지정(주),황순도(기수),암,서인석,070165,20260327,1
3,16,23,스테핑스톤,0053073,서울,한국,-,청수,116053,합격,출발지정(신),김태원(주로조교),수,서인석,070165,20260327,1
4,18,23,한강글로리,1411984,서울,한국,-,조금제,109017,합격,출발지정(재),쇼엡(외국인/트랙라이더),수,임채덕,070198,20260327,1
3,19,23,에스파이어,0053417,서울,한국,-,오종환,065154,합격,출발지정(신),칸(외국인/트랙라이더),암,심승태,070166,20260327,1
7,20,23,올포유어드림,0044497,서울,한국,-,서창식,114004,합격,출발지정(재),정민섭(주로조교),수,신삼영,070161,20260327,1
4,21,23,런와일드,1412208,서울,한국,-,손병현,112005,합격,출발지정(재),이해동(기수),거,이관호,070181,20260327,1
2,1,22,라온킹스맨,0053645,서울,한국,-,손천수,106025,합격,출발지정(재),윤기묵(주로조교),수,박종곤,070095,20260325,1
2,5,22,나르샤볼트,0055401,서울,한국,-,(주)아진화학,125010,합격,출발미합(신),조성환(기수),수,정호익,070148,20260325,1
1,6,22,원평대세,0061529,서울,미국,-,김용재,106198,합격,출발미합(신),장추열(기수),수,정호익,070148,20260325,1
4,7,22,블레이밍워,0055105,서울,미국,-,에스지이건설,121013,합격,출발불량(연속)(1/2),박상우(기수),암,정호익,070148,20260325,1
2,9,22,능력도령,0053964,서울,한국,출발불량,허건호,010205,불합격,출발미합(신),세카(외국인/트랙라이더),거,최봉주,070152,20260325,1
3,10,22,마니노다지,0051871,서울,한국,출발자세불량,한영석,105234,불합격,출발지정(재),브라메시(외국인/트랙라이더),거,최봉주,070152,20260325,1
2,11,22,타이거드림,0053207,서울,한국,-,(주)메타플렉스,125014,합격,출발미합(신),에드윈(외국인/트랙라이더),거,성상현,070289,20260325,1
2,12,22,지산레이블,0054001,서울,한국,-,홍승오,110116,합격,출발지정(재),현근식(주로조교),수,안병기,070146,20260325,1
10,13,22,허쉬대보,0038599,서울,한국,-,박철근,111042,합격,출발지정(재),김옥성(기수),수,전승규,070182,20260325,1
4,14,22,블랙스펙터,0047204,서울,한국,-,허영희,104011,합격,출발지정(재),오수철(기수),수,배휴준,070144,20260325,1
5,15,22,대원용마,1412289,서울,한국,출발불량,이혜섭,123010,불합격,출발지정(재),최명길(주로조교),거,서인석,070165,20260325,1
7,17,22,올포유어드림,0044497,서울,한국,-,서창식,114004,합격,출발지정(재),정민섭(주로조교),수,신삼영,070161,20260325,1
1,19,22,그랑파클래식,0061379,서울,미국,-,김길리,125001,합격,출발미합(신),신호철(주로조교),수,이준철,070197,20260325,1
2,20,22,누리여왕,0053539,서울,한국,출발불량,허도행,104127,불합격,출발미합(신),오동환(주로조교),암,김동균,070170,20260325,1
2,1,21,라온킹스맨,0053645,서울,한국,-,손천수,106025,합격,출발지정(재),윤기묵(주로조교),수,박종곤,070095,20260320,1
4,2,21,피엔에스뷰티,0051075,서울,한국,-,피엔에스홈즈,118010,합격,출발미합(신),송재철(기수),암,박윤규,070117,20260320,1
2,3,21,피엔에스이트,0053537,서울,한국,-,피엔에스커튼월,118008,불합격,출발미합(신),김인선(주로조교),수,박윤규,070117,20260320,1
4,4,21,비에스스톰,0051284,서울,한국,-,이월희,117022,합격,출발지정(재),신용대(주로조교),수,구자흥,070157,20260320,1
4,5,21,가온히어로,0055530,서울,미국,-,김기종,106296,합격,출발지정(재),임기원(기수),수,강성오,070174,20260320,1
1,6,21,스피어스,0061544,서울,미국,-,박희상,115008,합격,출발미합(신),박승찬(주로조교),수,강성오,070174,20260320,1
4,7,21,블레이밍워,0055105,서울,미국,-,에스지이건설,121013,합격,출발불량(연속)(2/2),박상우(기수),암,정호익,070148,20260320,1
1,8,21,원평대세,0061529,서울,미국,출발불량,김용재,106198,불합격,출발미합(신),장추열(기수),수,정호익,070148,20260320,1
3,9,21,투투매직,0052841,서울,한국,-,강용익,105137,합격,출발지정(재),지크리(외국인/트랙라이더),암,조현수,070199,20260320,1
3,10,21,미스터도르,0051746,서울,한국,-,최상일,105113,합격,출발미합(신),김현진(주로조교),수,홍윤화,070306,20260320,1
3,11,21,제이에스러브,0053149,서울,한국,-,임정균,111227,합격,출발지정(신),손동영(주로조교),암,정하백,070293,20260320,1
3,12,21,영원한루체아,0053091,서울,한국,-,조병해,010457,합격,출발지정(재),오수철(기수),암,이동국,070247,20260320,1
2,13,21,지산레이블,0054001,서울,한국,진입불량,홍승오,110116,불합격,출발지정(재),현근식(주로조교),수,안병기,070146,20260320,1
2,14,21,믿음의질주,0053521,서울,한국,-,강종우,065110,합격,출발미합(신),김종덕(주로조교),암,배휴준,070144,20260320,1
5,15,21,대원용마,1412289,서울,한국,진입불량,이혜섭,123010,불합격,출발지정(재),최명길(주로조교),거,서인석,070165,20260320,1
3,17,21,플라잉마하,0053498,서울,한국,-,김형순,110028,합격,출발(합격유보),수짓(외국인/트랙라이더),수,임채덕,070198,20260320,1
4,18,21,천마포스,0055385,서울,호주,-,이상진,122030,합격,출발지정(주),지크리(외국인/트랙라이더),거,임채덕,070198,20260320,1
5,19,21,금세,0047000,서울,한국,-,이종천,114016,합격,출발지정(재),김현준(주로조교),수,박재우,070164,20260320,1
2,20,21,뷰티풀리,0053257,서울,한국,-,박광순,104131,합격,출발지정(신),정우주(기수),암,박천서,070115,20260320,1
3,1,29,낙천질주,3107325,제주,한국,마체이상,오행국,206041,출전취소,출발미합(신),곽석(소속기수),거,김대연,002042,20260419,1
3,2,29,천명자,3107433,제주,한국,-,에린,116030,합격,출발미합(신),문현진(타조기수),수,이준호,002029,20260419,1
2,3,29,캐논여걸,3107640,제주,한국,마체이상,박병철,116019,출전취소,출발미합(신),김준호(타조기수),암,강대은,002027,20260419,1
2,4,29,슈퍼스타,3109130,제주,한국,-,안평림,121038,합격,출발미합(신),강수한(소속기수),수,김길홍,002038,20260419,1
3,5,29,전설마루,3108144,제주,한국,-,김창균,124030,합격,출발미합(신),이성민(소속기수),거,고영덕,002026,20260419,1
3,6,29,아리온,3109419,제주,한국,-,양용준,121027,합격,출발미합(신),원유일(타조기수),암,최기호,002030,20260419,1
2,7,29,해별,3108465,제주,한국,-,천창수,001196,합격,출발미합(신),박성광(소속기수),암,이태용,002034,20260419,1
2,1,29,차크라,3107897,제주,한국,-,양방철,001135,합격,출발미합(신),김경휴(소속기수),수,변용호,002013,20260419,2
2,2,29,백록황후,3107515,제주,한국,출발불량,조경수,116005,불합격,출발지정(신),김준호(소속기수),암,강태종,002036,20260419,2
4,3,29,용달이,3104610,제주,한국,발진불량,양근재,106203,불합격,출발지정(신),김다영(타조기수),수,문성호,002039,20260419,2
4,4,29,고속행진,3104620,제주,한국,-,에린,116030,합격,출발지정(휴),문현진(타조기수),암,이준호,002029,20260419,2
3,5,29,한라향,3107560,제주,한국,진입불량,강춘기,001009,불합격,출발지정(재),원유일(타조기수),암,윤덕상,002021,20260419,2
4,6,29,대군주,3104259,제주,한국,-,강길홍,001007,1차합격,출발지정(재),곽석(소속기수),거,김대연,002042,20260419,2
7,7,29,천지대부,3018559,제주,한국,-,명가,121043,1차합격,출발지정(재),강수한(소속기수),거,김길홍,002038,20260419,2
3,1,28,화이트타이거,3107594,제주,한국,-,변완수,111225,합격,출발미합(신),임재광(소속기수),거,심도연,002031,20260415,1
4,2,28,무림여왕,3104619,제주,한국,-,신상섭,206027,1차합격,출발지정(재),문현진(타조기수),암,신경호,002018,20260415,1
8,3,28,이룰성,3018069,제주,한국,-,변창순,001069,합격,출발지정(휴),김홍권(소속기수),거,강영진,002033,20260415,1
3,4,28,롱히트,3107566,제주,한국,-,고영조,001057,합격,출발지정(신),정명일(소속기수),암,문성호,002039,20260415,1
2,5,28,슈퍼스타,3109130,제주,한국,발진불량,안평림,121038,불합격,출발미합(신),강수한(소속기수),수,김길홍,002038,20260415,1
5,1,28,명품명장,3102521,제주,한국,-,변공민,001128,합격,출발지정(주),한영민(소속기수),거,김태준,002032,20260415,2
3,2,28,전설마루,3108144,제주,한국,출발불량,김창균,124030,불합격,출발미합(신),이성민(소속기수),거,고영덕,002026,20260415,2
3,3,28,천지장군,3104599,제주,한국,-,김민규,124018,합격,출발지정(신),정명일(소속기수),거,문성호,002039,20260415,2
